"","id","type","source","year","simpname","lastname","firstname","middlename","nationality","edu","prof","org","loc","lon","lat","text"
"47","fr2512","alumni","frei",1867,"elsasser, h","elsasser","hermann",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Elsasser, Hermann. Stuttgart, Wiirttemberg."
"48","fr2513","alumni","frei",1867,"v enzenberg, g  h","v enzenberg","graf hugo","hugo","austria","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Enzenberg, Graf Hugo. Innsbruck, bsterreich."
"49","fr2514","alumni","frei",1867,"eurich, e","eurich","ernst",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Eurich, Ernst. New York, V. St. v. A."
"50","fr2515","alumni","frei",1867,"gabler, g  a","gabler","gustav august","august","chile","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Gabler, Gustav August. Santiago, Chile."
"51","fr2516","alumni","frei",1867,"gabler, e  r","gabler","eduard robert","robert","chile","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Gabler, Eduard Robert. Valparaiso, Chile."
"52","fr2517","alumni","frei",1867,"gayou, a  r","gayou","angela ricardo ortiz","ricardo","mexico","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Gayou, Angela Ricardo Ortiz. Guaymas, Mexico."
"53","fr2518","alumni","frei",1867,"gayou, l","gayou","louis",NA,"mexico","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Gayou, Louis. Guaymas, Mexico."
"54","fr2519","alumni","frei",1867,"getz, a","getz","anton",NA,"norway","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Getz, Anton. Drontheim, Norwegen."
"55","fr2520","alumni","frei",1867,"goldmann, a","goldmann","albert",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Dr. phi!. Goldmann, Albert. Kirchheimbolanden, Bayern."
"56","fr2521","alumni","frei",1867,"hau6e, a  r","hau6e","august robert","robert","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hau6e, August Robert. Freiberg, Sachsen."
"57","fr2522","alumni","frei",1867,"hering, c  h","hering","curt heinrich","heinrich","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hering, Curt Heinrich. Freiberg, Sachsen."
"58","fr2523","alumni","frei",1867,"hornemann, h","hornemann","henrikthomas",NA,"norway","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hornemann, HenrikThomas. Drontheim, Norweg."
"59","fr2524","alumni","frei",1867,"hutchings, w  m","hutchings","william maynard","maynard","united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hutchings, William Maynard. Manchester, Engl."
"60","fr2525","alumni","frei",1867,"jonker, h  j","jonker","hendrik jan willem","jan","netherlands","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Jonker, Hendrik Jan Willem . Gravenhage, Holl."
"61","fr2526","alumni","frei",1867,"v kiel, d","v kiel","daniel",NA,"latvia","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Kiel, Daniel. Riga, RuBland."
"62","fr2527","alumni","frei",1867,"koenig, g  a","koenig","georg august","august","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Dr. phil. Koenig, Georg August. Willstadt, Baden."
"63","fr2528","alumni","frei",1867,"kraushaar, c  h","kraushaar","carl hartmann ernst","hartmann","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Kraushaar, Carl Hartmann Ernst. Niedereula, PreuBen."
"64","fr2529","alumni","frei",1867,"laughlin, a  c","laughlin","alexander c","c","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Laughlin, Alexander C. SudCarolina, V. St. v. A."
"65","fr2530","alumni","frei",1867,"lenderoth, w  a","lenderoth","wilhelm arnold","arnold","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Lenderoth, Wilhelm Arnold. Cassel, PreuBen."
"66","fr2531","alumni","frei",1867,"v leonhard, g  a","v leonhard","georg adolph alexander","adolph","russia","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Leonhard, Georg Adolph Alexander. St. Petersburg, RuBland."
"67","fr2532","alumni","frei",1867,"limouse, t  l","limouse","theophile louis","louis","france","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Limouse, Theophile Louis. StraBburg, Frankreich."
"68","fr2533","alumni","frei",1867,"mansfeldt, h  a","mansfeldt","henri adrien","adrien","netherlands","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Mansfeldt, Henri Adrien. Haag, Holland."
"69","fr2534","alumni","frei",1867,"norris, f  e","norris","frederic e","e","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Norris, Frederic E. Ottawa, Illinois, V. St. v. A."
"70","fr2535","alumni","frei",1867,"pitman, e  a","pitman","edward augustus","augustus","united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Pitman, Edward Augustus. Exeter, England."
"71","fr2536","alumni","frei",1867,"poetsch, h","poetsch","hermann",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Poetsch, Hermann. Neudorf, AnhaltDessau."
"72","fr2537","alumni","frei",1867,"rader, c  i","rader","charles innes","innes","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Rader, Charles Innes. Easton , Pennsylvanien,"
"73","fr2538","alumni","frei",1867,"rocco, j  b","rocco","johann baptist","baptist","switzerland","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Rocco, Johann Baptist. Celerina, Schweiz."
"74","fr2539","alumni","frei",1867,"v schelle, c  j","v schelle","carel jan","jan","netherlands","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"van Schelle, Carel Jan. Rotterdam, Holland."
"75","fr2540","alumni","frei",1867,"schwamkrug, j","schwamkrug","johannes",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Schwamkrug, Johannes. Freiberg, Sachsen."
"76","fr2541","alumni","frei",1867,"seely, h","seely","henry",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Dr. phi!. Seely, Henry. Vermont, V. St. v. A."
"77","fr2542","alumni","frei",1867,"stoltz, j  h","stoltz","jan henrik","henrik","norway","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Stoltz, Jan Henrik. Bergen, Norwegen."
"78","fr2543","alumni","frei",1867,"swinglehurst, a","swinglehurst","addison",NA,"united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Swinglehurst, Addison. Manchester, England."
"79","fr2544","alumni","frei",1867,"wilmerding, f  b","wilmerding","frederik b","b","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Wilmerding, Frederik B. New York, V. St. v. A."
"80","fr2545","alumni","frei",1867,"winkler, h  m","winkler","heinrich martin","martin","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Winkler, Heinrich Martin. Freiberg, Sachsen."
"81","fr2546","alumni","frei",1868,"v arnim, a  j","v arnim","alexander joseph karl","joseph","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Arnim, Alexander Joseph Karl Bernhard. Planitz b. Zwickau, Sachsen."
"82","fr2547","alumni","frei",1868,"berndes y prunevera,","berndes y prunevera","",NA,"brazil","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Berndes y Prunevera, Pedro Herrmann. Bahia, Brasilien."
"83","fr2548","alumni","frei",1868,"booth, h","booth","henry",NA,"united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Booth, Henry. Bradford, England."
"84","fr2549","alumni","frei",1868,"browne, r  e","browne","rob egerton","egerton","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Browne, RoB Egerton. Washington, V. St. v. A."
"85","fr2550","alumni","frei",1868,"de crano, e  g","de crano","eduard gerard","gerard","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"de Crano, Eduard Gerard. San Francisco, V. St. v.A."
"86","fr2551","alumni","frei",1868,"crook, f","crook","frank",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Dr. phil. Crook, Frank. Baltimore, V. St. v. A."
"87","fr2552","alumni","frei",1868,"delafield, a  f","delafield","augustus floyd","floyd","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Delafield, Augustus Floyd. New York, V. St. v. A."
"88","fr2553","alumni","frei",1868,"einhorn, a","einhorn","alfred",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Einhorn, Alfred. Schwerin."
"89","fr2554","alumni","frei",1868,"fitzpatrik, j","fitzpatrik","james",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Fitzpatrik, James. Detroit, Michigan."
"90","fr2555","alumni","frei",1868,"foster, e  l","foster","ernest le neve","le","united kingdom","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Foster, Ernest Le Neve. Grave Lane, England."
"91","fr2556","alumni","frei",1868,"frauenlob, c  e","frauenlob","carl emil","emil","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Frauenlob, Carl Emil. Obernaundorf, Sachsen."
"92","fr2557","alumni","frei",1868,"frazier, m","frazier","mag",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Frazier, Mag. Benjam. W. Philadelphia, V.St. v.A."
"93","fr2558","alumni","frei",1868,"frizzoni, l","frizzoni","leonardo",NA,"italy","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Frizzoni, Leonardo. Bergamo, Italien."
"94","fr2559","alumni","frei",1868,"gray, g  h","gray","georg harrison","harrison","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Gray, Georg Harrison. Boston, V. St. v. A."
"95","fr2560","alumni","frei",1868,"hebberling, a","hebberling","august",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hebberling, August. Buchloe, Bayern."
"96","fr2561","alumni","frei",1868,"lselin, h","lselin","heinrich",NA,"switzerland","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"lselin, Heinrich. Basel, Schweiz."
"97","fr2562","alumni","frei",1868,"jernegan, j  l","jernegan","joseph leonard","leonard","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Jernegan, Joseph Leonard. SouthBlude, Indiana,"
"98","fr2563","alumni","frei",1868,"junge, a","junge","armin",NA,"germany","engineer",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Junge, Armin. Chemnitz, Sachs. Dipl.Ing. 1873."
"99","fr2564","alumni","frei",1868,"kaufmann, g  a","kaufmann","gustav adolph","adolph","germany","","merchant","freiberg school","freiberg sachsen",13.341727,50.9128283,"Kaufmann, Gustav Adolph. Freiberg, Sachsen."
"100","fr2565","alumni","frei",1868,"kennedy, w","kennedy","walter",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Kennedy, Walter. New Orleans, V. St. v. A."
"101","fr2566","alumni","frei",1868,"kleritj, j","kleritj","julio",NA,"republic of serbia","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Kleritj, Julio. Belgrad, Serbien."
"102","fr2567","alumni","frei",1868,"v kondratieff, a","v kondratieff","anatol",NA,"ukraine","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Kondratieff, Anatol. Charkow, RuBiand."
"103","fr2568","alumni","frei",1868,"lockwood, g  p","lockwood","george p","p","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Lockwood, George P. New York, V. St. v. A."
"104","fr2569","alumni","frei",1868,"maschin, s","maschin","svetozar",NA,"republic of serbia","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Maschin, Svetozar. Belgrad, Serbien."
"105","fr2570","alumni","frei",1868,"otto, m  b","otto","moritz bernhard","bernhard","germany","engineer",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Otto, Moritz Bernhard. Elsterberg, Sachsen. Dipl.Ing. 1873."
"106","fr2571","alumni","frei",1868,"v rensselaer, s","v rensselaer","schupler",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"van Rensselaer, Schupler. New York, V.St.v.A."
